Rank,City,State,RecentCensus,Census,Percentage_change,Land_area,Population_density,Longitude,Latitude
119,Columbus,Georgia,"197,485","189,885",4.00%,216.4 sq mi,913,32.51,84.87
120,Augusta,Georgia,"197,081","195,844",0.63%,302.5 sq mi,652,33.37,82.07
121,Grand Rapids,Michigan,"196,445","188,040",4.47%,44.4 sq mi,4424,42.96,85.66
122,Shreveport,Louisiana,"194,920","199,311",_2.20%,107.1 sq mi,1820,32.47,93.79
123,Salt Lake City,Utah,"193,744","186,440",3.92%,111.2 sq mi,1742,40.78,111.93
124,Huntsville,Alabama,"193,079","180,105",7.20%,213.4 sq mi,905,34.7,86.67
125,Mobile,Alabama,"192,904","195,111",_1.13%,139.4 sq mi,1384,30.67,88.1
126,Tallahassee,Florida,"190,894","181,376",5.25%,100.4 sq mi,1901,30.46,84.25
127,Grand Prairie,Texas,"190,682","175,396",8.72%,72.3 sq mi,2637,32.69,97.02
128,Overland Park,Kansas,"188,966","173,372",8.99%,75.1 sq mi,2516,38.89,94.69
129,Knoxville,Tennessee,"186,239","178,874",4.12%,98.5 sq mi,1891,35.97,83.95
130,Port St. Lucie,Florida,"185,132","164,603",12.47%,118.9 sq mi,1557,27.28,80.39
131,Worcester,Massachusetts,"184,508","181,045",1.91%,37.4 sq mi,4933,42.27,71.81
132,Brownsville,Texas,"183,823","175,023",5.03%,132.5 sq mi,1387,26,97.46
133,Tempe,Arizona,"182,498","161,719",12.85%,40.0 sq mi,4562,33.39,111.93
134,Santa Clarita,California,"181,972","176,320",3.21%,52.8 sq mi,3446,34.4,118.5
135,Newport News,Virginia,"181,825","180,719",0.61%,69.1 sq mi,2631,37.08,76.52
136,Cape Coral,Florida,"179,804","154,305",16.53%,105.6 sq mi,1703,26.64,82
137,Providence,Rhode Island,"179,219","178,042",0.66%,18.4 sq mi,9740,41.82,71.42
138,Fort Lauderdale,Florida,"178,752","165,521",7.99%,34.6 sq mi,5166,26.14,80.15
139,Chattanooga,Tennessee,"177,571","167,674",5.90%,143.1 sq mi,1241,35.07,85.25
140,Rancho Cucamonga,California,"176,534","165,269",6.82%,40.0 sq mi,4413,34.12,117.56
141,Oceanside,California,"175,464","167,086",5.01%,41.3 sq mi,4249,33.22,117.31
142,Santa Rosa,California,"175,155","167,815",4.37%,41.3 sq mi,4241,38.45,122.71
143,Garden Grove,California,"174,858","170,883",2.33%,18.0 sq mi,9714,33.78,117.96
144,Vancouver,Washington,"174,826","161,791",8.06%,46.9 sq mi,3728,45.63,122.6
145,Sioux Falls,South Dakota,"174,360","153,888",13.30%,75.4 sq mi,2312,43.54,96.73
146,Ontario,California,"173,212","163,924",5.67%,49.9 sq mi,3471,34.04,117.6
147,McKinney,Texas,"172,298","131,117",31.41%,63.0 sq mi,2735,33.2,96.67
148,Elk Grove,California,"169,743","153,015",10.93%,42.2 sq mi,4022,38.41,121.39
149,Jackson,Mississippi,"169,148","173,514",_2.52%,111.0 sq mi,1524,32.32,90.21
150,Pembroke Pines,Florida,"168,587","154,019",9.46%,33.0 sq mi,5109,26.02,80.34
151,Salem,Oregon,"167,419","154,637",8.27%,48.6 sq mi,3445,44.92,123.02
152,Springfield,Missouri,"167,319","159,498",4.90%,82.3 sq mi,2033,37.19,93.29
153,Corona,California,"166,785","152,374",9.46%,39.5 sq mi,4222,33.86,117.57
154,Eugene,Oregon,"166,575","156,185",6.65%,44.1 sq mi,3777,44.06,123.12
155,Fort Collins,Colorado,"164,207","143,986",14.04%,55.8 sq mi,2943,40.55,105.06
156,Peoria,Arizona,"164,173","154,065",6.56%,175.7 sq mi,934,33.79,112.31
157,Frisco,Texas,"163,656","116,989",39.89%,67.7 sq mi,2417,33.16,96.82
158,Cary,North Carolina,"162,320","135,234",20.03%,56.5 sq mi,2873,35.78,78.81
159,Lancaster,California,"160,106","156,633",2.22%,94.3 sq mi,1698,34.69,118.18
160,Hayward,California,"158,937","144,186",10.23%,45.5 sq mi,3493,37.63,122.1
161,Palmdale,California,"157,356","152,750",3.02%,106.0 sq mi,1484,34.59,118.11
162,Salinas,California,"157,218","150,441",4.50%,23.6 sq mi,6662,36.69,121.63
163,Alexandria,Virginia,"155,810","139,966",11.32%,15.0 sq mi,10387,38.82,77.08
164,Lakewood,Colorado,"154,393","142,980",7.98%,42.9 sq mi,3599,39.7,105.12
165,Springfield,Massachusetts,"154,074","153,060",0.66%,31.9 sq mi,4830,42.12,72.54
166,Pasadena,Texas,"153,351","149,043",2.89%,43.5 sq mi,3525,29.66,95.15
167,Sunnyvale,California,"152,771","140,081",9.06%,22.0 sq mi,6944,37.39,122.03
168,Macon,Georgia,"152,555","91,351",67.00%,249.3 sq mi,612,32.81,83.69
169,Pomona,California,"152,494","149,058",2.31%,23.0 sq mi,6630,34.06,117.76
170,Hollywood,Florida,"151,998","140,768",7.98%,27.3 sq mi,5568,26.03,80.16
171,Kansas City,Kansas,"151,709","145,786",4.06%,124.8 sq mi,1216,39.12,94.74
172,Escondido,California,"151,613","143,911",5.35%,37.1 sq mi,4087,33.13,117.07
173,Clarksville,Tennessee,"150,287","132,929",13.06%,98.3 sq mi,1529,36.57,87.35
174,Joliet,Illinois,"148,262","147,433",0.56%,64.4 sq mi,2302,41.52,88.15
175,Rockford,Illinois,"147,651","152,871",_3.41%,63.5 sq mi,2325,42.26,89.06
176,Torrance,California,"147,195","145,438",1.21%,20.5 sq mi,7180,33.84,118.34
177,Naperville,Illinois,"147,122","141,853",3.71%,38.7 sq mi,3802,41.75,88.16
178,Paterson,New Jersey,"147,000","146,199",0.55%,8.4 sq mi,17500,40.91,74.16
179,Savannah,Georgia,"146,763","136,286",7.69%,103.6 sq mi,1417,32,81.15
180,Bridgeport,Connecticut,"145,936","144,229",1.18%,16.1 sq mi,9064,41.19,73.2
181,Mesquite,Texas,"143,736","139,824",2.80%,47.2 sq mi,3045,32.76,96.59
182,Killeen,Texas,"143,400","127,921",12.10%,53.5 sq mi,2680,31.08,97.73
183,Syracuse,New York,"143,378","145,170",_1.23%,25.0 sq mi,5735,43.04,76.14
184,McAllen,Texas,"142,212","129,877",9.50%,58.4 sq mi,2435,26.23,98.25
185,Pasadena,California,"142,059","137,122",3.60%,23.0 sq mi,6176,34.16,118.14
186,Bellevue,Washington,"141,400","122,363",15.56%,33.5 sq mi,4221,47.6,122.16
187,Fullerton,California,"140,721","135,161",4.11%,22.4 sq mi,6282,33.89,117.93
188,Orange,California,"140,504","136,416",3.00%,25.4 sq mi,5532,33.79,117.86
189,Dayton,Ohio,"140,489","141,527",_0.73%,55.7 sq mi,2522,39.78,84.2
190,Miramar,Florida,"138,449","122,041",13.44%,29.4 sq mi,4709,25.98,80.34
191,Thornton,Colorado,"136,703","118,772",15.10%,35.7 sq mi,3829,39.92,104.94
192,West Valley City,Utah,"136,574","129,480",5.48%,35.5 sq mi,3847,40.69,112.01
193,Olathe,Kansas,"135,473","125,872",7.63%,60.9 sq mi,2225,38.88,94.82
194,Hampton,Virginia,"135,410","137,436",_1.47%,51.5 sq mi,2629,37.05,76.3
195,Warren,Michigan,"135,125","134,056",0.80%,34.4 sq mi,3928,42.49,83.03
196,Midland,Texas,"134,610","111,147",21.11%,74.4 sq mi,1809,32.02,102.11
